"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 19:05:00 GMT 2024","Fri Jun 14 19:05:02 GMT 2024","2487","tests.ui","test_edit","","","","test_edit",""
"passed","Fri Jun 14 19:05:04 GMT 2024","Fri Jun 14 19:05:05 GMT 2024","686","tests.ui","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 19:04:52 GMT 2024","Fri Jun 14 19:04:52 GMT 2024","362","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Fri Jun 14 19:04:53 GMT 2024","Fri Jun 14 19:04:53 GMT 2024","12","tests.api","test_get_users","","","","test_get_users_no_auth_header",""
"passed","Fri Jun 14 19:04:52 GMT 2024","Fri Jun 14 19:04:52 GMT 2024","10","tests.api","test_api_signup","","","","test_should_return_400_if_password_too_short",""
"passed","Fri Jun 14 19:04:53 GMT 2024","Fri Jun 14 19:04:53 GMT 2024","8","tests.api","test_get_users","","","","test_failed_get_users_with_bad_token",""
"passed","Fri Jun 14 19:04:54 GMT 2024","Fri Jun 14 19:04:55 GMT 2024","704","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 19:04:58 GMT 2024","Fri Jun 14 19:04:58 GMT 2024","664","tests.ui","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 14 19:04:51 GMT 2024","Fri Jun 14 19:04:51 GMT 2024","26","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 14 19:04:53 GMT 2024","Fri Jun 14 19:04:53 GMT 2024","45","tests.api","test_get_users","","","","test_successful_get_users",""
"passed","Fri Jun 14 19:04:56 GMT 2024","Fri Jun 14 19:04:56 GMT 2024","684","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 19:04:52 GMT 2024","Fri Jun 14 19:04:52 GMT 2024","20","tests.api","test_api_signup","","","","test_should_return_400_if_email_invalid",""
"passed","Fri Jun 14 19:04:51 GMT 2024","Fri Jun 14 19:04:52 GMT 2024","313","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Fri Jun 14 19:05:05 GMT 2024","Fri Jun 14 19:05:06 GMT 2024","681","tests.ui","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 19:05:08 GMT 2024","Fri Jun 14 19:05:08 GMT 2024","50","tests.ui","test_register","","","","test_cancel_registration_opens_login_page",""
"passed","Fri Jun 14 19:04:50 GMT 2024","Fri Jun 14 19:04:51 GMT 2024","770","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 14 19:05:06 GMT 2024","Fri Jun 14 19:05:07 GMT 2024","865","tests.ui","test_register","","","","test_successful_registration_and_login",""
"passed","Fri Jun 14 19:04:52 GMT 2024","Fri Jun 14 19:04:52 GMT 2024","303","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 14 19:05:03 GMT 2024","Fri Jun 14 19:05:03 GMT 2024","44","tests.ui","test_home","","","","test_successful_login",""
"passed","Fri Jun 14 19:04:52 GMT 2024","Fri Jun 14 19:04:52 GMT 2024","14","tests.api","test_api_signup","","","","test_should_return_400_if_username_too_short",""
